"Correlation id,""Operation name"",""Status"",""Event category"",""Level"",""Time"",""Subscription"",""Event initiated by"",""Resource type"",""Resource group"",""Resource"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Create Deployment"",""Succeeded"",""Administrative"",""Informational"",""2025-09-16T06:18:23.478Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.Resources/deployments"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourceGroups/rbhabazure/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20250916081652"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Create Deployment"",""Started"",""Administrative"",""Informational"",""2025-09-16T06:16:29.500Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.Resources/deployments"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourceGroups/rbhabazure/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20250916081652"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Create Deployment"",""Succeeded"",""Administrative"",""Informational"",""2025-09-16T06:16:30.640Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.Resources/deployments"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourceGroups/rbhabazure/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20250916081652"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Create Deployment"",""Accepted"",""Administrative"",""Informational"",""2025-09-16T06:16:30.672Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.Resources/deployments"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourceGroups/rbhabazure/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20250916081652"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Update database account"",""Started"",""Administrative"",""Informational"",""2025-09-16T06:16:32.925Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""'audit' Policy action."",""Succeeded"",""Policy"",""Warning"",""2025-09-16T06:16:33.081Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Update database account"",""Accepted"",""Administrative"",""Informational"",""2025-09-16T06:16:41.222Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Read database account"",""Running"",""Administrative"",""Informational"",""2025-09-16T06:16:56.638Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Read database account"",""Running"",""Administrative"",""Informational"",""2025-09-16T06:17:12.422Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
"ec6d3399-3ead-4d14-8897-d7682498072a,""Read database account"",""Running"",""Administrative"",""Informational"",""2025-09-16T06:17:28.560Z"",""2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e"",""robert.bartlomiejski@usz.edu.pl"",""Microsoft.DocumentDb/databaseAccounts"",""rbhabazure"",""/subscriptions/2dc73f4d-e58e-4cdf-a7f2-68e77cd9c34e/resourcegroups/rbhabazure/providers/Microsoft.DocumentDb/databaseAccounts/robertbartlomiejski"""
