sector,provider,query,record_count
Blue Biotech,crossref,marine biotechnology blue bioeconomy innovation governance,0
Blue Biotech,scopus,marine biotechnology blue bioeconomy innovation governance,0
Blue Biotech,openalex,marine biotechnology blue bioeconomy innovation governance,150
Blue Biotech,wos,marine biotechnology blue bioeconomy innovation governance,0
Blue Biotech,crossref,bioprospecting marine genetic resources benefit sharing,0
Blue Biotech,scopus,bioprospecting marine genetic resources benefit sharing,14
Blue Biotech,openalex,bioprospecting marine genetic resources benefit sharing,150
Blue Biotech,wos,bioprospecting marine genetic resources benefit sharing,8
Blue Biotech,crossref,marine biomaterials pharmaceuticals bioremediation sustainability,0
Blue Biotech,scopus,marine biomaterials pharmaceuticals bioremediation sustainability,2
Blue Biotech,openalex,marine biomaterials pharmaceuticals bioremediation sustainability,150
Blue Biotech,wos,marine biomaterials pharmaceuticals bioremediation sustainability,1
Blue Biotech,crossref,marine biotechnology workforce skills competences training,19
Blue Biotech,scopus,marine biotechnology workforce skills competences training,0
Blue Biotech,openalex,marine biotechnology workforce skills competences training,150
Blue Biotech,wos,marine biotechnology workforce skills competences training,0
Blue Biotech,crossref,blue bioeconomy education learning outcomes curriculum qualification,0
Blue Biotech,scopus,blue bioeconomy education learning outcomes curriculum qualification,0
Blue Biotech,openalex,blue bioeconomy education learning outcomes curriculum qualification,13
Blue Biotech,wos,blue bioeconomy education learning outcomes curriculum qualification,0
Blue Biotech,crossref,marine biotechnology AI digital twin sustainability just transition,0
Blue Biotech,scopus,marine biotechnology AI digital twin sustainability just transition,0
Blue Biotech,openalex,marine biotechnology AI digital twin sustainability just transition,150
Blue Biotech,wos,marine biotechnology AI digital twin sustainability just transition,0
Blue Biotech,crossref,marine genetic resources ocean literacy governance climate adaptation,0
Blue Biotech,scopus,marine genetic resources ocean literacy governance climate adaptation,0
Blue Biotech,openalex,marine genetic resources ocean literacy governance climate adaptation,150
Blue Biotech,wos,marine genetic resources ocean literacy governance climate adaptation,0
Blue Biotech,crossref,marine biotechnology EQF qualification framework micro-credential professional development,0
Blue Biotech,scopus,marine biotechnology EQF qualification framework micro-credential professional development,0
Blue Biotech,openalex,marine biotechnology EQF qualification framework micro-credential professional development,2
Blue Biotech,wos,marine biotechnology EQF qualification framework micro-credential professional development,0
Blue Biotech,crossref,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,146
Blue Biotech,scopus,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Blue Biotech,openalex,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Blue Biotech,wos,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Blue Biotech,crossref,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,147
Blue Biotech,scopus,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Blue Biotech,openalex,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Blue Biotech,wos,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Coastal Tourism,crossref,coastal tourism sustainability overtourism management,0
Coastal Tourism,scopus,coastal tourism sustainability overtourism management,8
Coastal Tourism,openalex,coastal tourism sustainability overtourism management,150
Coastal Tourism,wos,coastal tourism sustainability overtourism management,5
Coastal Tourism,crossref,marine ecotourism blue economy livelihoods governance,62
Coastal Tourism,scopus,marine ecotourism blue economy livelihoods governance,1
Coastal Tourism,openalex,marine ecotourism blue economy livelihoods governance,150
Coastal Tourism,wos,marine ecotourism blue economy livelihoods governance,2
Coastal Tourism,crossref,cruise tourism environmental impact governance,0
Coastal Tourism,scopus,cruise tourism environmental impact governance,12
Coastal Tourism,openalex,cruise tourism environmental impact governance,150
Coastal Tourism,wos,cruise tourism environmental impact governance,13
Coastal Tourism,crossref,coastal tourism workforce skills competences training professional development,0
Coastal Tourism,scopus,coastal tourism workforce skills competences training professional development,0
Coastal Tourism,openalex,coastal tourism workforce skills competences training professional development,150
Coastal Tourism,wos,coastal tourism workforce skills competences training professional development,0
Coastal Tourism,crossref,marine ecotourism education learning outcomes curriculum qualification,0
Coastal Tourism,scopus,marine ecotourism education learning outcomes curriculum qualification,0
Coastal Tourism,openalex,marine ecotourism education learning outcomes curriculum qualification,38
Coastal Tourism,wos,marine ecotourism education learning outcomes curriculum qualification,0
Coastal Tourism,crossref,coastal tourism climate adaptation resilience just transition safety,0
