title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
13 The Impact of a Literacy Teaching Approach on Secondary-Level CLIL Students’ Historical Thinking Skills,Rodrigo García-López,2026,10.21832/9781788925624-016,crossref:10.21832/9781788925624-016,Crossref,,Insights into Disciplinary Literacies,https://doi.org/10.21832/9781788925624-016,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046777+00:00,Crossref open metadata
2 “I Made the Assessments Based on What I’d Seen in My Training”,Unknown,2026,10.18574/nyu/9781479836604-003,crossref:10.18574/nyu/9781479836604-003,Crossref,,Complex Innocence,https://doi.org/10.18574/nyu/9781479836604-003,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046751+00:00,Crossref open metadata
2. “I Need to Get Myself a Training Camp”,Unknown,2026,10.1515/9780271102658-007,crossref:10.1515/9780271102658-007,Crossref,,Fighter’s Heaven,https://doi.org/10.1515/9780271102658-007,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046758+00:00,Crossref open metadata
"3 Reserve Land Dispossession, Farming Challenges and Setbacks, and “Rudimentary” Agricultural Training at Residential Schools, 1896–1918",Unknown,2026,10.1515/9781772841480-007,crossref:10.1515/9781772841480-007,Crossref,,Cropped,https://doi.org/10.1515/9781772841480-007,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046762+00:00,Crossref open metadata
3 The Shortcomings of Teacher Training,Unknown,2026,10.18574/nyu/9781479834617-004,crossref:10.18574/nyu/9781479834617-004,Crossref,,No Restraint,https://doi.org/10.18574/nyu/9781479834617-004,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046754+00:00,Crossref open metadata
4 Training,Unknown,2026,10.1515/9781805430810-008,crossref:10.1515/9781805430810-008,Crossref,,"The British Army, Society and Soldiering in Ireland, 1699-1793",https://doi.org/10.1515/9781805430810-008,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046728+00:00,Crossref open metadata
"7 Pre-Service English as a Foreign Language Teachers and Students with Special Educational Needs: Self-Perceived Knowledge, Skills, Efficacy, Beliefs and Emotions",Agnieszka Kałdonek-Crnjaković,2026,10.21832/9781800418905-010,crossref:10.21832/9781800418905-010,Crossref,,Diversity and Inclusivity in English Language Education,https://doi.org/10.21832/9781800418905-010,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046766+00:00,Crossref open metadata
"7 Substantive Access and Legislation, Training and Inclusion",Unknown,2026,10.21832/9781800419100-009,crossref:10.21832/9781800419100-009,Crossref,,Access to Justice for Minority Language Communities,https://doi.org/10.21832/9781800419100-009,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046774+00:00,Crossref open metadata
8 Encountering the ‘Other’: The Role of Underwater Photographers in Shaping the Futures of Regenerative Marine Tourism,"Hindertje Hoarau-Heemstra, Anne Wally Ryan",2026,10.21832/9781845419332-010,crossref:10.21832/9781845419332-010,Crossref,,"Otherness, Othering and Space in Tourism Futures",https://doi.org/10.21832/9781845419332-010,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046712+00:00,Crossref open metadata
9 Marine and aquatic fungi,Unknown,2026,10.1515/9780691266305-012,crossref:10.1515/9780691266305-012,Crossref,,The Complete Fungi,https://doi.org/10.1515/9780691266305-012,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046732+00:00,Crossref open metadata
A Note to Aspiring Doctors,Unknown,2026,10.3138/9781487565619-010,crossref:10.3138/9781487565619-010,Crossref,,The Long Arc of Training,https://doi.org/10.3138/9781487565619-010,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046716+00:00,Crossref open metadata
Acknowledgements,Unknown,2026,10.1515/9780691274805-002,crossref:10.1515/9780691274805-002,Crossref,,Marine Crustaceans of Britain and Ireland,https://doi.org/10.1515/9780691274805-002,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046708+00:00,Crossref open metadata
"Appendix: Muhammad Ali’s Training at Deer Lake— Fights and Duration, 1972–1981",Unknown,2026,10.1515/9780271102658-029,crossref:10.1515/9780271102658-029,Crossref,,Fighter’s Heaven,https://doi.org/10.1515/9780271102658-029,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046770+00:00,Crossref open metadata
Chapter 8. “So Much Depends on the Proper Preparation of the Bible Women” : The Training Practice of Bible Women of the Basel (Women’s) Mission between 1880–1940 in South India,Sandra Langhop,2026,10.24415/9789400605466-010,crossref:10.24415/9789400605466-010,Crossref,,"The Basel Mission between Switzerland, Germany and South India",https://doi.org/10.24415/9789400605466-010,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046724+00:00,Crossref open metadata
Contents,Unknown,2026,10.3138/9781487565619-toc,crossref:10.3138/9781487565619-toc,Crossref,,The Long Arc of Training,https://doi.org/10.3138/9781487565619-toc,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046748+00:00,Crossref open metadata
Crustacean habitats,Unknown,2026,10.1515/9780691274805-012,crossref:10.1515/9780691274805-012,Crossref,,Marine Crustaceans of Britain and Ireland,https://doi.org/10.1515/9780691274805-012,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046744+00:00,Crossref open metadata
How to find your crustacean,Unknown,2026,10.1515/9780691274805-007,crossref:10.1515/9780691274805-007,Crossref,,Marine Crustaceans of Britain and Ireland,https://doi.org/10.1515/9780691274805-007,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046736+00:00,Crossref open metadata
Protection and conservation of crustaceans,Unknown,2026,10.1515/9780691274805-014,crossref:10.1515/9780691274805-014,Crossref,,Marine Crustaceans of Britain and Ireland,https://doi.org/10.1515/9780691274805-014,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046740+00:00,Crossref open metadata
Species accounts,Unknown,2026,10.1515/9780691274805-015,crossref:10.1515/9780691274805-015,Crossref,,Marine Crustaceans of Britain and Ireland,https://doi.org/10.1515/9780691274805-015,marine biotechnology workforce skills competences training,2026-07-25T22:52:35.046720+00:00,Crossref open metadata
1. (Con) (re) (des) (pre)figuraciones,Unknown,2026,10.31819/9783968698687-002,crossref:10.31819/9783968698687-002,Crossref,,Figuraciones de la acción social,https://doi.org/10.31819/9783968698687-002,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871892+00:00,Crossref open metadata
8.17 Les contrôles et ajustements de base,Unknown,2026,10.1051/978-2-7598-3931-5.c061,crossref:10.1051/978-2-7598-3931-5.c061,Crossref,,Guide de l’observation solaire avec un spectrohéliographe,https://doi.org/10.1051/978-2-7598-3931-5.c061,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871899+00:00,Crossref open metadata
"A comprehensive analysis of blue-to-red atmospheric signatures from all-sky imagery: CLARIS, an adaptive cloud-cover framework","Pedro C. Valdelomar, José Luis Gómez-Amo, Pedro Díaz-Villarroya, Gonzalo Enguix, Carmen Dameto de España, M. Pilar Utrillas",2026,10.1016/j.atmosres.2026.109131,crossref:10.1016/j.atmosres.2026.109131,Crossref,,Atmospheric Research,https://doi.org/10.1016/j.atmosres.2026.109131,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871945+00:00,Crossref open metadata
