evidence_id,sector,axis_group,axis_code
evidence:doi:10.64712/ghajet.v14i3.788,desalination,HYDRONIZATION,H
evidence:doi:10.66314/ijepp.v4i1.209,maritime_transport,MARITIME,T
evidence:doi:10.66356/iydb8339,non_living_res,MARINE,M
evidence:doi:10.66887/jltl.v15i2.797,coastal_tourism,OCEANIC,O
evidence:doi:10.70102/ijares/v5i2/5-2-29,coastal_tourism,OCEANIC,O
evidence:doi:10.70269/10.70269/3734943838,maritime_defence,MARITIME,T
evidence:doi:10.70593/978-93-7185-542-6_7,infra_robotics,MARITIME,T
evidence:doi:10.70725/881380vlsnpa,blue_biotech,MARINE,M
evidence:doi:10.70908/2232-6022/18.177-205,infra_robotics,MARITIME,T
evidence:doi:10.71443/9789349552531-13,desalination,HYDRONIZATION,H
evidence:doi:10.7202/1109482ar,non_living_res,OCEANIC,O
evidence:doi:10.7220/9786094674792,desalination,HYDRONIZATION,H
evidence:doi:10.7225/toms.v11.n02.w05,maritime_transport,MARITIME,T
