query_id,sector_slug,query_family,query_text,provider,provider_canonical,execution_status,returned_record_count,normalized_record_count,contributed_record_count,raw_record_count,accepted_record_count,excluded_outside_time_window_count,excluded_missing_year_count,from_year,to_year,declared_sort_strategy,sort_status,declared_sampling_mode,declared_pages,declared_rows_per_page,sampling_status,time_window_status,requested_constraint_filters,applied_constraint_filters,unsupported_constraint_filters,unapplied_constraint_filters,validity_warnings,errors,warnings
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,crossref,crossref,completed,150,19,19,150,19,131,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,Crossref retry search_page_2: attempt=1 http_status=429 retry_after_seconds=None backoff_seconds=1.0 jitter_seconds=0.402 wait_seconds=1.402|Crossref retry terminal_status=success attempt=2
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,openalex,openalex,completed,150,150,135,150,150,0,0,2019,2026,,not_declared_for_provider,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|time_window,sampling_strategy|time_window,,sort_strategy,filter_not_applied:sort_strategy,,
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,"Scopus pagination: projected_query='TITLE-ABS-KEY(""marine"" AND ""biotechnology"" AND ""workforce"" AND ""skills"" AND ""competences"" AND ""training"")'; logical_pages_attempted=1"
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,wos,wos,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,crossref,crossref,completed,150,0,0,150,0,150,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,Crossref retry search_page_3: attempt=1 http_status=429 retry_after_seconds=None backoff_seconds=1.0 jitter_seconds=0.214 wait_seconds=1.214|Crossref retry terminal_status=success attempt=2
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,openalex,openalex,completed,13,13,10,13,13,0,0,2019,2026,,not_declared_for_provider,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|time_window,sampling_strategy|time_window,,sort_strategy,filter_not_applied:sort_strategy,,
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,"Scopus pagination: projected_query='TITLE-ABS-KEY(""blue"" AND ""bioeconomy"" AND ""education"" AND ""learning"" AND ""outcomes"" AND ""curriculum"" AND ""qualification"")'; logical_pages_attempted=1"
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,wos,wos,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,
Q_BLUE_BIOTECH_CORE_001,blue_biotech,core_sector,marine biotechnology blue bioeconomy innovation governance,crossref,crossref,completed,150,0,0,150,0,150,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sampling_strategy|sort_strategy|time_window,,,,,Crossref retry search_page_2: attempt=1 http_status=429 retry_after_seconds=None backoff_seconds=1.0 jitter_seconds=0.401 wait_seconds=1.401|Crossref retry terminal_status=success attempt=2|Crossref retry search_page_3: attempt=1 http_status=429 retry_after_seconds=None backoff_seconds=1.0 jitter_seconds=0.154 wait_seconds=1.154|Crossref retry terminal_status=success attempt=2
Q_BLUE_BIOTECH_CORE_001,blue_biotech,core_sector,marine biotechnology blue bioeconomy innovation governance,openalex,openalex,completed,150,150,142,150,150,0,0,2019,2026,,not_declared_for_provider,stratified,3,50,applied_genuine_pagination,applied_post_fetch,sampling_strategy|time_window,sampling_strategy|time_window,,sort_strategy,filter_not_applied:sort_strategy,,
