title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
Blue Bioeconomy and Industrial Innovation,Olusola Tosin Lawal,2024,10.1007/978-3-031-68911-6_7,crossref:10.1007/978-3-031-68911-6_7,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_7,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838173+00:00,Crossref open metadata
Blue Bioeconomy and Agricultural Innovation,"Manish Kumar Gautam, Sandip Mondal",2024,10.1007/978-3-031-68911-6_6,crossref:10.1007/978-3-031-68911-6_6,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_6,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838201+00:00,Crossref open metadata
Major Sectors of Blue Bioeconomy,KKA Sanjeewa,2024,10.1201/9781003477365-1,crossref:10.1201/9781003477365-1,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-1,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838208+00:00,Crossref open metadata
Aquatic Resources for Blue Bioeconomy Prospecting,"Rakesh Das, Sandip Mondal",2024,10.1007/978-3-031-68911-6_1,crossref:10.1007/978-3-031-68911-6_1,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_1,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838218+00:00,Crossref open metadata
Circular Economy Principles Related to the Blue Bioeconomy,KKA Sanjeewa,2024,10.1201/9781003477365-8,crossref:10.1201/9781003477365-8,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-8,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838223+00:00,Crossref open metadata
Blue Bioeconomy and Biomedical Innovation,"Mustapha Abdulsalam, Innocent Ojeba Musa, Miracle Uwa Livinus, Shehu-Alimi Elelu, Ganiyat Omotayo Ibrahim, Olaitan Lateefat Salami, Auwal Sagir Muhammad, Sanjoy Kumar Pal",2024,10.1007/978-3-031-68911-6_8,crossref:10.1007/978-3-031-68911-6_8,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_8,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838230+00:00,Crossref open metadata
Marine Fungi,KKA Sanjeewa,2024,10.1201/9781003477365-4,crossref:10.1201/9781003477365-4,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-4,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838235+00:00,Crossref open metadata
Marine Microalgae,KKA Sanjeewa,2024,10.1201/9781003477365-5,crossref:10.1201/9781003477365-5,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-5,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838241+00:00,Crossref open metadata
Marine Nematodes,KKA Sanjeewa,2024,10.1201/9781003477365-6,crossref:10.1201/9781003477365-6,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-6,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838245+00:00,Crossref open metadata
Exploring the Blue Bioeconomy,Sanjeewa KKA,2024,10.1201/9781003477365,crossref:10.1201/9781003477365,Crossref,,,https://doi.org/10.1201/9781003477365,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838250+00:00,Crossref open metadata
Marine Bacteria and Cyanobacteria,KKA Sanjeewa,2024,10.1201/9781003477365-3,crossref:10.1201/9781003477365-3,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-3,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838254+00:00,Crossref open metadata
Marine Greens Prospecting: Untapped Blue Resources,"Satyanarayana Swamy Vyshnava, K. Swetha, Muralidhara Rao Dowlathabad",2024,10.1007/978-3-031-68911-6_15,crossref:10.1007/978-3-031-68911-6_15,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_15,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838259+00:00,Crossref open metadata
Applications of Marine Bioresources,KKA Sanjeewa,2024,10.1201/9781003477365-7,crossref:10.1201/9781003477365-7,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-7,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838263+00:00,Crossref open metadata
"MUNICIPAL BIOECONOMY: HOW BIOTECHNOLOGY (INCLUDING CRISPR) CREATES NEW MARKETS, JOBS, AND INNOVATION ECOSYSTEMS",Anna Gennadyevna Kraevskaya,2026,10.46916/16032026-4-978-5-00276-030-5,crossref:10.46916/16032026-4-978-5-00276-030-5,Crossref,,"MUNICIPAL BIOECONOMY: HOW BIOTECHNOLOGY (INCLUDING CRISPR) CREATES NEW MARKETS, JOBS, AND INNOVATION ECOSYSTEMS",https://doi.org/10.46916/16032026-4-978-5-00276-030-5,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838266+00:00,Crossref open metadata
Sustainable blue biomass production for a circular bioeconomy,C Lee,2025,10.1016/j.nbt.2024.08.006,crossref:10.1016/j.nbt.2024.08.006,Crossref,,New Biotechnology,https://doi.org/10.1016/j.nbt.2024.08.006,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838270+00:00,Crossref open metadata
Blue bioeconomy and biotechnology: towards a sustainably growing microalgae industry,"Doris Ying Ying Tang, Cendy Ooi, Pau Loke Show",2025,10.1186/s44315-025-00036-8,crossref:10.1186/s44315-025-00036-8,Crossref,,Blue Biotechnology,https://doi.org/10.1186/s44315-025-00036-8,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838274+00:00,Crossref open metadata
Seaweeds,KKA Sanjeewa,2024,10.1201/9781003477365-2,crossref:10.1201/9781003477365-2,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-2,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838277+00:00,Crossref open metadata
Preface,Unknown,2024,10.1039/9781837675654-fp005,crossref:10.1039/9781837675654-fp005,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp005,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838290+00:00,Crossref open metadata
Prospects of Microbial Enzymes in Marine Blue Economy,"Hafida Baoune, Mounia Arab, Waffa Bouafia, Fatma Zohra Saadane, Kaouther Boudiaf",2024,10.1007/978-3-031-68911-6_13,crossref:10.1007/978-3-031-68911-6_13,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_13,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838297+00:00,Crossref open metadata
Global Regulations of Blue Bioeconomy: Opportunities and Challenges,"Stella Suanu Leh-Togi Zobeashia, Amoge Chidinma Ogu, Hilda Atabo Uyo, Lovina Chinyere Ogbu, Itoroabasi Joseph Okon",2024,10.1007/978-3-031-68911-6_2,crossref:10.1007/978-3-031-68911-6_2,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_2,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838302+00:00,Crossref open metadata
Contents,Unknown,2024,10.1039/9781837675654-fp009,crossref:10.1039/9781837675654-fp009,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp009,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838305+00:00,Crossref open metadata
